"Database Name","Short Query Text","Total Logical Reads","Min Logical Reads","Avg Logical Reads","Max Logical Reads","Min Worker Time","Avg Worker Time","Max Worker Time","Min Elapsed Time","Avg Elapsed Time","Max Elapsed Time","Execution Count","Has Missing Index","Creation Time"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV12  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2170222","83443","83470","83642","848285","946392","1021930","120615","136837","230265","26","1","12/11/2025 2:40:46 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV11  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2160664","83079","83102","83249","816182","900571","980229","119532","131432","158640","26","1","12/11/2025 2:40:46 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV13  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","2152653","82781","82794","82874","696865","758143","818193","110073","128179","191560","26","1","12/11/2025 2:40:47 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV16  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","1754994","83542","83571","83759","880908","952506","1005782","119746","131561","155243","21","1","12/11/2025 2:47:49 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  	SELECT tnd.*, ctps.MaHD  FROM  (select * from dbo.TNDSERV17  WITH (nolock)  where (DALAY_DT =0 or DALAY_DT is null)) tnd  inner join (select * from CTPhatSinh WITH (nolock)  where convert (date,NgayNhap","1585173","83407","83430","83612","914802","979759","1042089","124397","135226","150069","19","1","12/11/2025 2:50:40 PM"
"SGCReport_2016_2021","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'SGCReport_201","781000","11000","11000","11000","167434","180537","197459","167444","182796","217034","71","0","12/11/2025 11:41:07 AM"
"KHTT_ST","select * from NhanThuong nt                                                left join NhanThuong_SieuThi ns on nt.MaDotNhanThuong = ns.MaDotNhanThuong                                                where MaCT = '00' and DaApDung = 1 and  ns.MaST LIKE  ","556263","1424","1426","1451","2425","2681","3659","2425","2681","3659","390","0","12/11/2025 2:58:46 PM"
"KHTT_ST","SET TRANSACTION ISOLATION LEVEL READ COMMITTED  SELECT  distinct   i.TX_NO, i.DATE, i.TIME, i.CUSTNUM, i.REGISTER,  i.TYPE, i.SKU_REF, i.SELL_UNIT, i.VALUE, i.QUAN, i.SKU, i.DEPARTMENT, i.SUB_DEPT,                       i.CLASSNUM, i.SUB_CLASS,					ca","442371","3101","3159","3394","16887","22675","25951","16888","23024","59300","140","1","12/11/2025 11:59:37 AM"
"KHTT_ST","(@NgaySinhTu datetime,@NgaySinhDen datetime,@TuNgay datetime,@DenNgay datetime)SELECT *                                        FROM   KhachHang kh                                        WHERE  kh.PassPort = 'PK 122655'                               ","291189","145594","145594","145595","1764017","1789439","1814862","52443","54274","56106","2","1","12/11/2025 2:49:23 PM"
"KHTT_ST23","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'KHTT_ST23' or","217368","12076","12076","12076","89213","95314","101468","21573","35353","56380","18","0","12/11/2025 2:22:25 PM"
"KHTT_ST22","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'KHTT_ST22' or","217368","12076","12076","12076","88657","94777","101765","20205","35454","58404","18","0","12/11/2025 2:22:25 PM"
"KHTT_ST24","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'KHTT_ST24' or","205292","12076","12076","12076","88387","94167","103821","20792","36237","58251","17","0","12/11/2025 2:25:29 PM"
"KHTT_ST_TEST","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'KHTT_ST_TEST'","205292","12076","12076","12076","86114","95143","103904","20367","35445","56231","17","0","12/11/2025 2:25:28 PM"
"ReportServerTempDB","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'ReportServerT","205292","12076","12076","12076","84061","90725","99564","18971","35949","45013","17","0","12/11/2025 2:25:29 PM"
"ReportServer","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'ReportServer'","205292","12076","12076","12076","83288","91251","99987","20327","37508","58265","17","0","12/11/2025 2:25:29 PM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_3]ASBEGIN-- D?ng INVTSRV15 - Tu TOPOS_CFCQ_CUM4 				INSERT INTO [KHTT_ST].dbo.[INVTSERV15]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[","203129","3210","4415","17433","1563330","2034607","7247814","1613673","2111174","7330622","46","1","12/11/2025 7:40:00 AM"
"KHTT_ST","use [SGCReport_2016_2021]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [SGCReport_2016_2021].sys.indexes i   , [SGCReport_2016_2021].sys.objects","193892","1829","1829","1847","2042","3036","5510","2042","3083","5597","106","0","12/11/2025 11:34:48 AM"
"","/* * This is the worker proc for all of the ""for each"" type procs.  Its function is to read the * next replacement name from the cursor (which returns only a single name), plug it into the * replacement locations for the commands, and execute them","188592","14","24","28","78","233","1079","78","237","4381","7777","0","12/11/2025 7:02:44 AM"
"Son_TEST_DCDR","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'Son_TEST_DCDR","187000","11000","11000","11000","168080","177310","185743","168089","180303","201687","17","0","12/11/2025 2:25:28 PM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_4]ASBEGIN-- D?ng INVTSRV16 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV16]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			","182843","2935","3974","14984","1338784","1865703","3288902","1592620","2017875","3462263","46","1","12/11/2025 7:42:00 AM"
"KHTT_ST","SELECT TOP 10 *  FROM                                             ((SELECT cs.MaThe13 as N'M? th? 13', cs.NgayHD,                                                       CONVERT(VARCHAR(20),cs.NgayHD,103) as N'Ng?y mua',                               ","165351","82639","82675","82712","244863","248761","252660","246873","249773","252674","2","1","12/11/2025 12:00:22 PM"
"KHTT_ST","use [SGCReport]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [SGCReport].sys.indexes i   , [SGCReport].sys.objects o   WHERE i.[object_id]=o.[ob","158662","1496","1496","1532","1805","2713","5196","1805","2741","5973","106","0","12/11/2025 11:34:48 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_HCM_5]ASBEGIN-- D?ng INVTSRV17 - Tu TOPOS_CFCQ_CUM5 				INSERT INTO [KHTT_ST].dbo.[INVTSERV17]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 	","151093","2524","3284","9577","1188804","1699178","4393521","1380254","1875208","4552375","46","1","12/11/2025 7:42:00 AM"
"KHTT_ST","(@1 varchar(8000),@2 int,@3 nvarchar(4000))UPDATE [The] set [NGAYCAP] = @1,[DAKHOA] = @2  WHERE [MATHE13]=@3","146426","10444","10459","10470","1790822","1934815","2045922","82266","96623","107839","14","0","12/11/2025 8:42:09 AM"
"KHTT_ST","(@1 int,@2 nvarchar(4000))UPDATE [The] set [KICHHOAT] = @1  WHERE [MATHE13]=@2","146207","10443","10443","10448","1803693","1991263","2094574","86354","97997","108101","14","0","12/11/2025 8:42:09 AM"
"KHTT_ST","(@NgaySinhTu datetime,@NgaySinhDen datetime,@TuNgay datetime,@DenNgay datetime)SELECT *                                        FROM   KhachHang kh                                        WHERE  kh.PassPort = 'PK 122655'                               ","145602","145602","145602","145602","1521008","1521008","1521008","48742","48742","48742","1","1","12/11/2025 2:49:06 PM"
"KHTT_ST","create PROC [dbo].[KHTT_INTERFACE_TENDER]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV10]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]           ","144314","2376","3070","11752","980818","1113790","1921234","1031437","1171261","2051898","47","1","12/11/2025 7:30:06 AM"
"KHTT_ST","--EXEC TP_INTERFACE_KHTTCREATE PROC [dbo].[KHTT_INTERFACE_INVTSERV_CFTinh]ASBEGIN-- D?ng INVTSRV10 - Tu TOPOS_CFCQ_CUM1				INSERT INTO [KHTT_ST].dbo.[INVTSERV11]			(TX_NO 			,[DATE] 			,[TIME] 			,CUSTNUM 			,REGISTER 			,[TYPE","135177","2310","2876","5719","892569","1264584","2411518","1019457","1427401","2465539","47","1","12/11/2025 7:32:00 AM"
"KHTT_ST","use [KHTT_ST]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [KHTT_ST].sys.indexes i   , [KHTT_ST].sys.objects o   WHERE i.[object_id]=o.[object_i","132924","1254","1254","1254","4262","6627","11462","4262","6692","11464","106","0","12/11/2025 11:34:48 AM"
"KHTT_ST","use [KHTT_ST23]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [KHTT_ST23].sys.indexes i   , [KHTT_ST23].sys.objects o   WHERE i.[object_id]=o.[ob","124656","1176","1176","1176","3999","6370","10896","3999","6439","11825","106","0","12/11/2025 11:34:48 AM"
"KHTT_ST","use [KHTT_ST24]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [KHTT_ST24].sys.indexes i   , [KHTT_ST24].sys.objects o   WHERE i.[object_id]=o.[ob","124444","1174","1174","1174","4007","6302","10927","4007","6337","10927","106","0","12/11/2025 11:34:48 AM"
"KHTT_ST","use [KHTT_ST_TEST]; begin SELECT  DB_ID() as DB_ID , DB_NAME() as DB_Name, o.name as Table_Name, i.[object_id] 'Table ID', i.[index_id] 'Index ID' , i.name as Index_Name FROM [KHTT_ST_TEST].sys.indexes i   , [KHTT_ST_TEST].sys.objects o   WHERE i.[object_","124338","1173","1173","1173","4093","6443","11354","4093","6556","15803","106","0","12/11/2025 11:34:48 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_4]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV16]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE","117708","1970","2558","11491","726904","919289","2442341","747606","959799","2499090","46","1","12/11/2025 7:42:03 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_2]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV14]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE] ","111840","1911","2431","9811","668584","810193","1191005","690073","852939","1214203","46","1","12/11/2025 7:38:03 AM"
"KHTT_ST","CREATE PROC [dbo].[KHTT_INTERFACE_TENDER_CFHCM2]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV12]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TYPE]","111808","1886","2378","9169","741307","907255","1699371","774923","944497","1728382","47","1","12/11/2025 7:36:03 AM"
"","/* * This is the worker proc for all of the ""for each"" type procs.  Its function is to read the * next replacement name from the cursor (which returns only a single name), plug it into the * replacement locations for the commands, and execute them","108640","14","24","28","69","175","912","69","179","4579","4480","0","12/11/2025 7:08:54 AM"
"KHTT_ST","Create PROC [dbo].[KHTT_INTERFACE_TENDER_HCM_5]ASBEGININSERT INTO [KHTT_ST].dbo.[TNDSERV17]			(			[TX_NO]           ,[DATE]           ,[TIME]           ,[CUSTNUM]           ,[REGISTER]           ,[TILLID]           ,[TY","108170","1788","2351","8891","742411","857422","1195243","761897","898578","1248145","46","1","12/11/2025 7:42:05 AM"
"KHTT_ST","(@p__linq__0 varchar(8000))SELECT TOP (1)     [Extent1].[MaThe13] AS [MaThe13],     [Extent1].[DoanhSoDauNgay] AS [DoanhSoDauNgay],     [Extent1].[DoanhSoTrongNgay] AS [DoanhSoTrongNgay],     [Extent1].[DiemMuaHangDauNgay] AS [DiemMuaHangDauNgay],","97764","4","4","4","24","54","488","24","55","489","24441","0","12/11/2025 1:57:03 PM"
"model","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'model' order ","96608","12076","12076","12076","87838","94091","99755","19766","25205","37547","8","0","12/11/2025 2:52:53 PM"
"msdb","select top 1 substring(convert(nvarchar(22),backup_finish_date,102),1,4), substring(convert(nvarchar(22),backup_finish_date,102),6,2), substring(convert(nvarchar(22),backup_finish_date,102),9,2) from msdb..backupset   where database_name = N'msdb' order b","96608","12076","12076","12076","88673","95303","105101","19870","26220","39047","8","0","12/11/2025 2:52:53 PM"
